pweight,Population size weight (must be combined with dweight or pspwght)
name,Title of dataset
essround,ESS round
edition,Edition
proddate,Production date
idno,Respondent's identification number
cntry,Country
dweight,Design weight
prob,Sampling probability
stratum,Sampling stratum
psu,Primary sampling unit
nwspol,"News about politics and current affairs, watching, reading or listening, in minutes"
netusoft,"Internet use, how often"
netustm,"Internet use, how much time on typical day, in minutes"
ppltrst,Most people can be trusted or you can't be too careful
pplfair,"Most people try to take advantage of you, or try to be fair"
pplhlp,Most of the time people helpful or mostly looking out for themselves
polintr,How interested in politics
psppsgva,Political system allows people to have a say in what government does
actrolga,Able to take active role in political group
psppipla,Political system allows people to have influence on politics
cptppola,Confident in own ability to participate in politics
trstprl,Trust in country's parliament
trstlgl,Trust in the legal system
trstplc,Trust in the police
trstplt,Trust in politicians
trstprt,Trust in political parties
trstep,Trust in the European Parliament
trstun,Trust in the United Nations
trstsci,Trust in scientists
vote,Voted last national election
prtvtebg,"Party voted for in last national election, Bulgaria"
prtvtbhr,"Party voted for in last national election, Croatia"
prtvtecz,"Party voted for in last national election, Czechia"
prtvthee,"Party voted for in last national election, Estonia"
prtvtefi,"Party voted for in last national election, Finland"
prtvtefr,"Party voted for in last national election, France (ballot 1)"
prtvtghu,"Party voted for in last national election, Hungary"
prtvclt1,"Party voted for in last national election 1, Lithuania (first vote, party)"
prtvclt2,"Party voted for in last national election 2, Lithuania (second vote, party)"
prtvclt3,"Party voted for in last national election 3, Lithuania (third vote, party)"
prtvtfsi,"Party voted for in last national election, Slovenia"
prtvtesk,"Party voted for in last national election, Slovakia"
contplt,Contacted politician or government official last 12 months
donprty,Donated to or participated in political party or pressure group last 12 months
badge,Worn or displayed campaign badge/sticker last 12 months
sgnptit,Signed petition last 12 months
pbldmna,Taken part in public demonstration last 12 months
bctprd,Boycotted certain products last 12 months
pstplonl,Posted or shared anything about politics online last 12 months
volunfp,Volunteered for not-for-profit or charitable organisation
clsprty,Feel closer to a particular party than all other parties
prtclebg,"Which party feel closer to, Bulgaria"
prtclbhr,"Which party feel closer to, Croatia"
prtclecz,"Which party feel closer to, Czechia"
prtclhee,"Which party feel closer to, Estonia"
prtclffi,"Which party feel closer to, Finland"
prtclffr,"Which party feel closer to, France"
prtclhhu,"Which party feel closer to, Hungary"
prtclclt,"Which party feel closer to, Lithuania"
prtclfsi,"Which party feel closer to, Slovenia"
prtclesk,"Which party feel closer to, Slovakia"
prtdgcl,How close to party
lrscale,Placement on left right scale
stflife,How satisfied with life as a whole
stfeco,How satisfied with present state of economy in country
stfgov,How satisfied with the national government
stfdem,How satisfied with the way democracy works in country
stfedu,State of education in country nowadays
stfhlth,State of health services in country nowadays
gincdif,Government should reduce differences in income levels
freehms,Gays and lesbians free to live life as they wish
hmsfmlsh,Ashamed if close family member gay or lesbian
hmsacld,Gay and lesbian couples right to adopt children
euftf,European Union: European unification go further or gone too far
lrnobed,Obedience and respect for authority most important virtues children should learn
loylead,Country needs most loyalty towards its leaders
imsmetn,Allow many/few immigrants of same race/ethnic group as majority
imdfetn,Allow many/few immigrants of different race/ethnic group from majority
impcntr,Allow many/few immigrants from poorer countries outside Europe
imbgeco,Immigration bad or good for country's economy
imueclt,Country's cultural life undermined or enriched by immigrants
imwbcnt,Immigrants make country worse or better place to live
happy,How happy are you
sclmeet,"How often socially meet with friends, relatives or colleagues"
inprdsc,How many people with whom you can discuss intimate and personal matters
sclact,Take part in social activities compared to others of same age
crmvct,Respondent or household member victim of burglary/assault last 5 years
aesfdrk,Feeling of safety of walking alone in local area after dark
health,Subjective general health
hlthhmp,Hampered in daily activities by illness/disability/infirmity/mental problem
atchctr,How emotionally attached to [country]
atcherp,How emotionally attached to Europe
rlgblg,Belonging to particular religion or denomination
rlgdnm,Religion or denomination belonging to at present
rlgdnafi,"Religion or denomination belonging to at present, Finland"
rlgdnhu,"Religion or denomination belonging to at present, Hungary"
rlgdnlt,"Religion or denomination belonging to at present, Lithuania"
rlgdnbsk,"Religion or denomination belonging to at present, Slovakia"
rlgblge,Ever belonging to particular religion or denomination
rlgdnme,Religion or denomination belonging to in the past
rlgdeafi,"Religion or denomination belonging to in the past, Finland"
rlgdehu,"Religion or denomination belonging to in the past, Hungary"
rlgdelt,"Religion or denomination belonging to in the past, Lithuania"
rlgdebsk,"Religion or denomination belonging to in the past, Slovakia"
rlgdgr,How religious are you
rlgatnd,How often attend religious services apart from special occasions
pray,How often pray apart from at religious services
dscrgrp,Member of a group discriminated against in this country
dscrrce,Discrimination of respondent's group: colour or race
dscrntn,Discrimination of respondent's group: nationality
