,survey,item
0,V-Dem,Freedom to research and teach
1,V-Dem,Vertical accountability index
2,V-Dem,Party institutionalization index
3,V-Dem,Obligatory referendum super majority
4,V-Dem,Exclusion by Socio-Economic Group
5,V-Dem,Election type 0
6,V-Dem,Referendums administrative threshold
7,V-Dem,Election type 6
8,V-Dem,Plebiscite index
9,V-Dem,Engaged society
10,V-Dem,Access to state business opportunities by urban-rural location
11,V-Dem,Executive bribery and corrupt exchanges
12,V-Dem,Party linkages
13,V-Dem,Share of population with suffrage
14,V-Dem,Participatory component index
15,V-Dem,Initiatives permitted
16,V-Dem,Enforcement of Constitutional changes through popular vote
17,V-Dem,Weaker civil liberties population
18,V-Dem,Reasoned justification
19,V-Dem,HOS = HOG
20,V-Dem,Distinct party platforms
21,V-Dem,Freedom from forced labor for women
22,V-Dem,Particularistic or public goods
23,V-Dem,Chief executive appointment by upper chamber
24,V-Dem,Additive polyarchy index
25,V-Dem,Obligatory referendum administrative threshold
26,V-Dem,Referendums participation threshold
27,V-Dem,CSO entry and exit
28,V-Dem,Equality before the law and individual liberty index
29,V-Dem,HOS directly elected
30,V-Dem,Women political empowerment index
31,V-Dem,Liberal component index
32,V-Dem,HOG appointment in practice
33,V-Dem,Legislature controls resources
34,V-Dem,Institutional autonomy
35,V-Dem,Legislative or constituent assembly election
36,V-Dem,Chief executive no longer elected
37,V-Dem,Means-tested v. universalistic policy
38,V-Dem,Women political participation index
39,V-Dem,Election type 5
40,V-Dem,Party ban
41,V-Dem,Legislature corrupt activities
42,V-Dem,Initiatives participation threshold
43,V-Dem,HOS removal by other in practice 4
44,V-Dem,Access to state jobs by urban-rural location
45,V-Dem,Regimes of the world -- the RoW measure
46,V-Dem,Access to public services distributed by social group
47,V-Dem,Compliance with high court
48,V-Dem,Freedom from torture
49,V-Dem,Executive corruption index
50,V-Dem,Opposition parties autonomy
51,V-Dem,Election other electoral violence
52,V-Dem,Legislature closed down or aborted
53,V-Dem,Horizontal accountability index
54,V-Dem,Female journalists
55,V-Dem,Initiatives signature-gathering period
56,V-Dem,Local offices relative power
57,V-Dem,Legislature bicameral
58,V-Dem,Freedom of academic and cultural expression
59,V-Dem,HOS removal by other in practice
60,V-Dem,Freedom of discussion for women
61,V-Dem,Egalitarian democracy index
62,V-Dem,Access to public services distributed by urban-rural location
63,V-Dem,Political corruption index
64,V-Dem,HOG removal by other in practice 2
65,V-Dem,Freedom of Expression and Alternative Sources of Information index
66,V-Dem,Regional offices relative power
67,V-Dem,Internet censorship effort
68,V-Dem,Exclusion by Political Group index
69,V-Dem,Initiatives administrative threshold
70,V-Dem,HOG appoints cabinet in practice
71,V-Dem,Access to state jobs by social group
72,V-Dem,Candidate selection-national/local
73,V-Dem,Deliberative component index
74,V-Dem,Educational equality
75,V-Dem,Regime corruption
76,V-Dem,Public sector corrupt exchanges
77,V-Dem,Obligatory referendum participation threshold
78,V-Dem,Plebiscites administrative threshold
79,V-Dem,CSO women's participation
80,V-Dem,Legislative or constituent assembly election aborted
81,V-Dem,Power distributed by social group
82,V-Dem,Elected officials index
83,V-Dem,Compliance with judiciary
